title,genre,premiere,runtime,imdb_score,language,year
Maska,Romantic comedy,3/27/2020,111,5.9,Hindi,2020
The Decline,Thriller,3/27/2020,83,5.9,French,2020
The Minimalists: Less Is Now,Documentary,1/1/2021,53,5.9,English,2021
The Polka King,Comedy-drama,1/12/2018,95,5.9,English,2018
The Prom,Musical,12/11/2020,132,5.9,English,2020
True Memoirs of an International Assassin,Action comedy,11/11/2016,98,5.9,English,2016
Ultras,Sports film,3/20/2020,108,5.9,Italian,2020
Come Sunday,Biopic,4/13/2018,106,6,English,2018
Forgive Us Our Debts,Drama,5/4/2018,104,6,Italian,2018
iBoy,Science fiction/Thriller,1/27/2017,90,6,English,2017
Lovefucked,Drama,8/9/2019,106,6,Hindi,2019
Juanita,Drama,3/8/2019,90,6,English,2019
Murder Mystery,Comedy mystery,6/14/2019,97,6,English,2019
Project Power,Superhero,8/14/2020,113,6,English,2020
Rebecca,Romantic thriller,10/21/2020,123,6,English,2020
The Christmas Chronicles: Part Two,Christmas comedy,11/25/2020,115,6,English,2020
The Kissing Booth,Romantic comedy,5/11/2018,105,6,English,2018
The Princess Switch,Romantic comedy,11/16/2018,101,6,English,2018
To All the Boys: P.S. I Still Love You,Romantic comedy,2/12/2020,102,6,English,2020
War Machine,War-Comedy,5/26/2017,122,6,English,2017
6 Underground,Action,12/13/2019,128,6.1,English,2019
Between Two Ferns: The Movie,Comedy,9/20/2019,82,6.1,English,2019
Burning Sands,Drama,3/10/2017,102,6.1,English,2017
Casting JonBenet,Documentary,4/28/2017,80,6.1,English,2017
Deidra & Laney Rob a Train,Drama,3/17/2017,94,6.1,English,2017
Finding 'Ohana,Family,1/29/2021,123,6.1,English,2021
Holidate,Romantic comedy/Holiday,10/28/2020,104,6.1,English,2020
Holiday in the Wild,Adventure-romance,11/1/2019,85,6.1,English,2019
Hot Girls Wanted,Documentary,5/29/2015,84,6.1,English,2015
Like Father,Comedy,8/3/2018,103,6.1,English,2018
Lost Girls,Crime drama,3/13/2020,95,6.1,English,2020
Otherhood,Comedy,8/2/2019,100,6.1,English,2019
Pee-wee's Big Holiday,Adventure,3/18/2016,89,6.1,English,2016
Rogue City,Crime drama,10/30/2020,116,6.1,French,2020
Sergio,Biopic,4/17/2020,118,6.1,English,2020
Stuck Apart,Drama,1/8/2021,96,6.1,Turkish,2021
Tersanjung the Movie,Drama,4/1/2021,114,6.1,Indonesian,2021
The Killer,Western,11/10/2017,99,6.1,Portuguese,2017
The Lovebirds,Romantic comedy,5/22/2020,87,6.1,English,2020
The Most Hated Woman in America,Biopic,3/24/2017,92,6.1,English,2017
The Perfection,Horror-thriller,5/24/2019,90,6.1,English,2019
Tribhanga ? Tedhi Medhi Crazy,Drama,1/15/2021,95,6.1,Hindi,2021
Unknown Origins,Thriller,8/28/2020,96,6.1,Spanish,2020
Work It,Dance comedy,8/7/2020,93,6.1,English,2020
Alien Xmas,Stop Motion,11/20/2020,42,6.2,English,2020
Baggio: The Divine Ponytail,Biopic,5/26/2021,92,6.2,Italian,2021
Below Zero,Drama,1/29/2021,106,6.2,Spanish,2021
Citation,Drama,11/6/2020,151,6.2,English,2020
Crazy Awesome Teachers,Comedy-drama,8/17/2020,101,6.2,Indonesian,2020
Have You Ever Seen Fireflies?,Comedy,4/9/2021,114,6.2,Turkish,2021
High Flying Bird,Sports-drama,2/8/2019,90,6.2,English,2019
In the Shadow of the Moon,Thriller,9/27/2019,115,6.2,English,2019
Lost Bullet,Thriller,6/19/2020,92,6.2,French,2020
Octonauts & the Caves of Sac Actun,Animation,8/14/2020,72,6.2,English,2020
Offering to the Storm,Thriller,7/24/2020,139,6.2,Spanish,2020
Roxanne Roxanne,Biopic,3/23/2018,98,6.2,English,2018
Someone Great,Romantic comedy,4/19/2019,92,6.2,English,2019
Spenser Confidential,Action comedy,3/6/2020,111,6.2,English,2020
The Land of Steady Habits,Drama,9/14/2018,98,6.2,English,2018
The Rachel Divide,Documentary,4/27/2018,104,6.2,English,2018
Voyuer ,Documentary,12/1/2017,95,6.2,English,2017
Win It All,Comedy,4/7/2017,88,6.2,English,2017
1922,Horror/Crime drama,10/20/2017,102,6.3,English,2017
A Tale of Two Kitchens,Documentary,5/22/2019,30,6.3,English/Spanish,2019
Alex Strangelove,Romantic comedy,6/8/2018,99,6.3,English,2018
Apostle,Horror-thriller,10/12/2018,129,6.3,English,2018
Benji,Family film,3/16/2018,87,6.3,English,2018
Bright,Urban fantasy,12/22/2017,117,6.3,English,2017
Cargo,Drama/Horror,5/18/2018,104,6.3,English,2018
Concrete Cowboy,Drama,4/2/2021,111,6.3,English,2021
Feel the Beat,Family/Comedy-drama,6/19/2020,107,6.3,English,2020
Get the Goat,Comedy,3/18/2021,97,6.3,Portuguese,2021
I Am Not an Easy Man,Romantic comedy,4/13/2018,98,6.3,French,2018
June & Kopi,Drama,1/28/2021,90,6.3,Indonesian,2021
Music Teacher,Drama,4/19/2019,101,6.3,Hindi,2019
Nail Bomber: Manhunt,Documentary,5/26/2021,72,6.3,English,2021
Notes for My Son,Drama,11/24/2020,83,6.3,Spanish,2020
Polar,Action,1/25/2019,118,6.3,English,2019
Porta dos Fundos: The Last Hangover,Comedy,12/21/2018,44,6.3,Portuguese,2018
Sand Castle,War,4/21/2017,113,6.3,English,2017
Shimmer Lake,Crime thriller,6/9/2017,86,6.3,English,2017
